timestamp,timestamp_iso,dpid,port,role,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,byte_delta,packet_delta,drop_delta,throughput_bps,port_bw_mbps,load,loss
1780246136.977826,2026-06-01T00:48:56,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246137.0052304,2026-06-01T00:48:57,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246137.0179796,2026-06-01T00:48:57,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246137.0261579,2026-06-01T00:48:57,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246137.0490923,2026-06-01T00:48:57,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246146.9070175,2026-06-01T00:49:06,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246146.9492488,2026-06-01T00:49:06,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246146.982506,2026-06-01T00:49:06,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.005951,2026-06-01T00:49:07,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246147.0407498,2026-06-01T00:49:07,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.0547838,2026-06-01T00:49:07,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.0711374,2026-06-01T00:49:07,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246147.0927625,2026-06-01T00:49:07,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.1011398,2026-06-01T00:49:07,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.1176894,2026-06-01T00:49:07,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246147.1333203,2026-06-01T00:49:07,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246147.1482823,2026-06-01T00:49:07,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246156.9160235,2026-06-01T00:49:16,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246156.9909194,2026-06-01T00:49:16,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.0013797,2026-06-01T00:49:17,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246157.011103,2026-06-01T00:49:17,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.0189815,2026-06-01T00:49:17,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.026905,2026-06-01T00:49:17,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246157.0337224,2026-06-01T00:49:17,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.0581543,2026-06-01T00:49:17,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.0809395,2026-06-01T00:49:17,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.097638,2026-06-01T00:49:17,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246157.1167176,2026-06-01T00:49:17,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246157.1250923,2026-06-01T00:49:17,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246166.9216938,2026-06-01T00:49:26,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246166.9427464,2026-06-01T00:49:26,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246166.9939976,2026-06-01T00:49:26,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246167.0178268,2026-06-01T00:49:27,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246167.06271,2026-06-01T00:49:27,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246167.0833976,2026-06-01T00:49:27,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246167.1216311,2026-06-01T00:49:27,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246167.1472452,2026-06-01T00:49:27,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246167.1703932,2026-06-01T00:49:27,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246167.2098553,2026-06-01T00:49:27,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246167.2268386,2026-06-01T00:49:27,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246167.2580993,2026-06-01T00:49:27,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246176.9313884,2026-06-01T00:49:36,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246176.9819052,2026-06-01T00:49:36,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246177.0316505,2026-06-01T00:49:37,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246177.0418816,2026-06-01T00:49:37,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246177.0654926,2026-06-01T00:49:37,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246177.1112833,2026-06-01T00:49:37,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246177.1537137,2026-06-01T00:49:37,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
